Date,Price,Open,High,Low,Vol.,Change %
4/22/2024,"16,258.80","16,218.30","16,280.00","16,201.00",,0.25%
4/21/2024,"16,218.30","16,218.30","16,218.30","16,218.30",,-0.20%
4/19/2024,"16,250.00","16,265.00","16,290.00","16,255.00",,0.49%
4/18/2024,"16,170.00","16,185.00","16,195.00","16,155.00",,-0.28%
4/17/2024,"16,215.00","16,235.00","16,272.50","16,210.00",,0.28%
4/16/2024,"16,170.00","16,075.00","16,210.00","16,072.50",,0.33%
4/15/2024,"16,116.70","16,118.00","16,138.00","16,050.80",,0.00%
4/12/2024,"16,117.00","16,030.50","16,161.30","15,996.00",,0.54%
4/11/2024,"16,031.00","16,002.00","16,036.50","15,950.50",,0.21%
4/10/2024,"15,998.00","15,900.00","16,002.00","15,826.00",,0.62%
4/9/2024,"15,899.00","15,925.00","15,925.00","15,833.00",,-0.16%
4/8/2024,"15,925.00","15,888.00","15,928.00","15,867.00",,0.54%
4/5/2024,"15,840.00","15,907.50","15,916.00","15,842.50",,-0.31%
4/4/2024,"15,890.00","15,937.50","15,937.50","15,890.00",,-0.16%
4/3/2024,"15,915.00","15,930.00","15,940.00","15,905.00",,0.13%
4/2/2024,"15,895.00","15,947.50","15,965.00","15,897.00",,0.06%
4/1/2024,"15,885.00","15,875.00","15,920.00","15,872.50",,0.03%
3/29/2024,"15,880.00","15,891.00","15,909.30","15,858.50",,0.19%
3/28/2024,"15,850.00","15,880.00","15,894.00","15,855.00",,0.00%
3/27/2024,"15,850.00","15,830.00","15,865.00","15,818.50",,0.41%
3/26/2024,"15,785.00","15,800.00","15,810.00","15,780.00",,-0.06%
3/25/2024,"15,795.00","15,785.00","15,808.50","15,775.00",,0.13%
3/22/2024,"15,775.00","15,730.00","15,790.00","15,722.50",,0.77%
3/21/2024,"15,655.00","15,665.00","15,680.00","15,647.00",,-0.35%
3/20/2024,"15,710.00","15,722.50","15,742.50","15,708.50",,0.00%
3/19/2024,"15,710.00","15,720.00","15,735.00","15,697.50",,0.16%
3/18/2024,"15,685.00","15,625.00","15,698.00","15,622.50",,0.61%
3/15/2024,"15,590.00","15,630.00","15,641.50","15,594.50",,0.10%
3/14/2024,"15,575.00","15,580.00","15,589.50","15,569.50",,0.03%
3/13/2024,"15,570.00","15,570.00","15,595.00","15,557.50",,0.06%
3/12/2024,"15,561.00","15,526.50","15,563.00","15,470.90",,0.23%
3/11/2024,"15,525.00","15,541.30","15,590.00","15,438.50",,-0.38%
3/8/2024,"15,585.00","15,625.00","15,640.00","15,573.00",,-0.42%
3/7/2024,"15,650.00","15,667.50","15,685.00","15,635.00",,-0.29%
3/6/2024,"15,695.00","15,760.00","15,760.00","15,690.00",,-0.44%
3/5/2024,"15,765.00","15,752.50","15,777.50","15,735.00",,0.19%
3/4/2024,"15,735.00","15,705.00","15,740.00","15,704.50",,0.25%
3/1/2024,"15,695.00","15,722.50","15,722.50","15,680.00",,-0.10%
2/29/2024,"15,710.00","15,705.00","15,735.50","15,690.00",,0.19%
2/28/2024,"15,680.00","15,645.00","15,692.00","15,645.00",,0.29%
2/27/2024,"15,635.00","15,650.00","15,662.50","15,640.00",,0.06%
2/26/2024,"15,625.00","15,622.50","15,642.50","15,619.00",,0.22%
2/23/2024,"15,590.00","15,602.50","15,607.50","15,572.50",,0.03%
2/22/2024,"15,585.00","15,640.00","15,659.50","15,589.50",,-0.29%
2/21/2024,"15,630.00","15,670.00","15,685.00","15,635.00",,-0.16%
2/20/2024,"15,655.00","15,640.00","15,669.00","15,637.50",,0.19%
2/19/2024,"15,625.00","15,640.00","15,642.50","15,616.00",,0.06%
2/16/2024,"15,615.00","15,655.00","15,677.50","15,620.00",,0.00%
2/15/2024,"15,615.00","15,582.50","15,640.00","15,547.50",,-0.11%
2/14/2024,"15,632.00","15,677.00","15,726.70","15,560.60",,0.27%
2/13/2024,"15,590.00","15,590.00","15,614.00","15,565.00",,0.00%
2/12/2024,"15,590.00","15,640.00","15,640.00","15,594.50",,-0.14%
2/9/2024,"15,611.50","15,665.00","15,666.00","15,609.00",,-0.34%
2/8/2024,"15,665.00","15,654.00","15,678.00","15,618.00",,0.22%
2/7/2024,"15,630.00","15,722.50","15,727.50","15,615.00",,-0.60%
2/6/2024,"15,725.00","15,752.50","15,757.50","15,722.50",,0.16%
2/5/2024,"15,700.00","15,725.00","15,727.50","15,690.50",,0.29%
2/2/2024,"15,655.00","15,755.00","15,755.00","15,644.00",,-0.67%
2/1/2024,"15,760.00","15,787.50","15,802.50","15,757.50",,-0.10%
1/31/2024,"15,775.00","15,802.50","15,818.00","15,778.00",,-0.01%
1/30/2024,"15,777.00","15,800.00","15,816.00","15,775.00",,-0.18%
1/29/2024,"15,805.00","15,812.50","15,833.00","15,807.50",,-0.06%
1/26/2024,"15,815.00","15,837.50","15,847.50","15,810.00",,-0.03%
1/25/2024,"15,820.00","15,710.00","15,835.00","15,705.00",,0.73%
1/24/2024,"15,705.00","15,694.00","15,730.00","15,693.00",,0.51%
1/23/2024,"15,625.00","15,660.00","15,677.50","15,630.00",,-0.03%
1/22/2024,"15,630.00","15,607.50","15,640.00","15,607.50",,0.13%
1/19/2024,"15,610.00","15,617.50","15,637.50","15,612.50",,-0.03%
1/18/2024,"15,615.00","15,617.50","15,637.50","15,612.50",,-0.13%
1/17/2024,"15,635.00","15,625.00","15,647.50","15,617.50",,0.32%
1/16/2024,"15,585.00","15,572.50","15,598.50","15,570.00",,0.23%
1/15/2024,"15,550.00","15,555.00","15,562.50","15,545.00",,0.03%
1/12/2024,"15,545.00","15,562.50","15,575.00","15,542.50",,0.00%
1/11/2024,"15,545.00","15,552.50","15,570.00","15,544.50",,-0.13%
1/10/2024,"15,565.00","15,540.00","15,587.50","15,537.50",,0.32%
1/9/2024,"15,515.00","15,529.00","15,531.00","15,504.50",,-0.03%
1/8/2024,"15,520.00","15,500.00","15,533.50","15,500.00",,0.06%
1/5/2024,"15,510.00","15,507.50","15,532.00","15,499.50",,0.16%
1/4/2024,"15,485.00","15,535.00","15,552.50","15,490.00",,0.06%
1/3/2024,"15,475.00","15,505.00","15,527.50","15,470.00",,0.06%
1/2/2024,"15,465.00","15,430.00","15,482.50","15,430.00",,0.49%
1/1/2024,"15,390.00","15,390.10","15,390.10","15,390.00",,-0.03%
12/29/2023,"15,395.00","15,430.00","15,457.50","15,397.00",,-0.13%
12/28/2023,"15,415.00","15,385.00","15,434.50","15,380.00",,-0.06%
12/27/2023,"15,425.00","15,430.00","15,442.50","15,392.50",,0.12%
12/26/2023,"15,407.00","15,467.00","15,467.00","15,405.00",,-0.39%
12/25/2023,"15,467.00","15,466.80","15,467.00","15,466.80",,-0.08%
12/22/2023,"15,480.00","15,490.00","15,505.00","15,475.00",,-0.26%
12/21/2023,"15,520.00","15,520.00","15,551.00","15,512.50",,0.10%
12/20/2023,"15,505.00","15,500.00","15,527.50","15,494.00",,0.03%
12/19/2023,"15,500.00","15,522.50","15,526.50","15,487.50",,-0.03%
12/18/2023,"15,505.00","15,542.50","15,561.50","15,490.00",,0.10%
12/15/2023,"15,490.00","15,512.50","15,528.50","15,472.50",,-0.03%
12/14/2023,"15,495.00","15,460.00","15,520.00","15,460.00",,-1.02%
12/13/2023,"15,655.00","15,611.00","15,677.50","15,597.00",,0.26%
12/12/2023,"15,615.00","15,640.00","15,654.50","15,614.50",,0.03%
12/11/2023,"15,610.00","15,580.00","15,622.50","15,580.00",,0.68%
12/8/2023,"15,505.00","15,502.50","15,526.50","15,483.50",,-0.03%
12/7/2023,"15,510.00","15,515.00","15,543.50","15,509.00",,0.13%
12/6/2023,"15,490.00","15,490.00","15,514.50","15,485.00",,-0.06%
12/5/2023,"15,500.00","15,490.00","15,519.00","15,487.50",,0.32%
12/4/2023,"15,450.00","15,425.00","15,468.50","15,415.00",,-0.19%
12/1/2023,"15,480.00","15,520.00","15,548.50","15,485.00",,-0.16%
11/30/2023,"15,505.00","15,450.00","15,510.00","15,441.00",,0.75%
11/29/2023,"15,390.00","15,387.50","15,422.50","15,357.50",,-0.26%
11/28/2023,"15,430.00","15,470.00","15,482.50","15,430.00",,-0.39%
11/27/2023,"15,490.00","15,540.00","15,560.00","15,475.00",,-0.45%
11/24/2023,"15,560.00","15,565.00","15,612.50","15,555.00",,0.06%
11/23/2023,"15,550.00","15,600.00","15,623.50","15,545.00",,-0.13%
11/22/2023,"15,570.00","15,535.00","15,604.00","15,530.00",,0.87%
11/21/2023,"15,435.00","15,392.00","15,507.00","15,385.00",,-0.03%
11/20/2023,"15,440.00","15,412.50","15,552.00","15,382.50",,-0.32%
11/17/2023,"15,490.00","15,512.50","15,535.00","15,489.00",,-0.32%
11/16/2023,"15,540.00","15,555.00","15,622.50","15,545.00",,0.06%
11/15/2023,"15,530.00","15,505.00","15,553.00","15,467.50",,-1.02%
11/14/2023,"15,690.00","15,695.00","15,707.50","15,690.00",,-0.03%
11/13/2023,"15,695.00","15,702.50","15,727.00","15,697.50",,0.03%
11/10/2023,"15,690.00","15,685.00","15,712.50","15,675.00",,0.26%
11/9/2023,"15,650.00","15,642.50","15,672.50","15,631.00",,0.03%
11/8/2023,"15,645.00","15,625.00","15,665.00","15,590.00",,0.13%
11/7/2023,"15,625.00","15,565.00","15,635.00","15,560.00",,0.58%
11/6/2023,"15,535.00","15,595.00","15,595.00","15,510.00",,-1.21%
